INPUT:Malayalam_1	INPUT:Malayalam_2	INPUT:text_1	OUTPUT:result	CONFIDENCE:result	
ആൺകുട്ടികളെ കയ്യുറകളെപ്പോലെ മാറ്റുന്നതിനുള്ള ഒരു പ്രശസ്തി നേടുന്നത് നല്ലതാണ്	ആൺകുട്ടികളെ കയ്യുറയെപ്പോലെ മാറ്റുന്ന ഒരു വ്യക്തി എന്ന നിലയിൽ നിങ്ങൾ അറിയപ്പെടാൻ ആഗ്രഹിക്കുന്നില്ല	it ' s not a good idea to have a reputation for switch ing guys like gloves .	0	84.57%	
എന്നാൽ, നിങ്ങൾ അതിനെക്കുറിച്ച് ഒന്നും അറിയില്ല, പക്ഷേ നിങ്ങൾ ഒരിക്കലും അറിയില്ല.	പക്ഷേ, നിങ്ങൾക്കറിഞ്ഞോ അറിയാതെയോ. ് ളെ	however , you have to keep looking or you ' ll never know .	1	78.19%	
നിങ്ങളുടെ സ്വന്തം തിരഞ്ഞെടുപ്പുകൾ നടത്താൻ നിങ്ങൾക്ക് അധികാരമുണ്ട്	എനിക്ക് ഒരു ആശയം ആവശ്യമാണ് എന്നാണ് അർത്ഥമാക്കുന്നത്	you can choose your own path in life .	0	99.99%	
എല്ലായ്പ്പോഴും നല്ല ആപ്പിൾ ഉണ്ട്	ഓരോ കുടുംബത്തിലും ഒരു മോശം ആപ്പിൾ ഉണ്ട്	there are always bad apple s .	0	99.79%	
അതാണ് എന്റെ സുഹൃത്തുക്കളാരും എന്നെ കണക്കാക്കുന്നത് കണക്കാക്കുന്നത്.അങ്ങനെയാണ് സ്ത്രീ ഒരിക്കലും മോശമായി പെരുമാറില്ല.	പക്ഷെ എന്റെ ഓരോ സുഹൃത്തുക്കളും എന്നെ വെളിപ്പെടുത്തുന്നു എന്നതാണ്.എന്നാൽ പുരുഷന്മാർ എല്ലായ്പ്പോഴും എങ്ങനെ പ്രവർത്തിക്കുന്നു എന്നതാണ്.	that is what all of my friends tell me . that is how men always behave .	1	86.11%	
നിങ്ങളെ സഹായിക്കാൻ നിങ്ങൾ ഈ ഉപദേശം എടുക്കുമെന്ന് ഞാൻ പ്രതീക്ഷിക്കുന്നു	ഞാൻ നിങ്ങൾക്ക് ചില ഉപദേശങ്ങൾ നൽകട്ടെ	that is all well and good , but i hope i may offer you some helpful counsel .	1	85.77%	
ഞാൻ ആസ്വദിക്കുന്ന തരത്തിലുള്ള ചോദ്യം.	നല്ല ചോദ്യം, അത് തന്നെ.	great question of the type i enjoy .	1	86.11%	
മങ്ങൽ പുറത്തായതായി എന്നെ അറിയിച്ചു	ഉള്ളില്	i was informed that bl ur has been out s old .	0	99.99%	
െറ . . െെറ െഎ . േ	(അവള് ക്ക് സാധാരണമായ ബന്ധമുണ്ടാവണം.) ള	( the present moment in time is character ized by her desire for his part ic i p ation in a non - s er ious romantic partner ship .	0	99.99%	
നിങ്ങളുടെ അരക്കെട്ടിന് ചുറ്റും ന്യൂട്രൽ വില്ലു പുനർനിർമിക്കരുത്.	ഇടപാട് നിങ്ങളുടെ ശങ്ക് ഏകദേശം റൂട്ട് ബക്കിൾ മനസിലാക്കരുത്.	do not forget the red bow around your waist .	0	99.99%	
കോമ്പസ് ഫ്രീയായാലും ഇല്ലെങ്കിലും എനിക്ക് ഉറപ്പില്ല.	comflix.com സ്വതന്ത്രമാണ് അല്ലെങ്കിൽ ഇല്ല	i ' m not certain if netflix . com is free or not .	0	99.03%	
ഒരു തവണ അവർ നിങ്ങൾക്ക് ഇടം നൽകാൻ ആഗ്രഹിക്കുന്നു, ഒരു ദിവസം അവർ ഒരു ബന്ധം ചോദിക്കുന്നു!ഒരു ദിവസം നിങ്ങൾ നൽകുന്നു	ഒരു ദിവസം അവർ ഒരു ബന്ധത്തിലും മറ്റ് ദിവസവും അല്ല	one day they want you to give them space and the next day they want a relationship !	1	93.76%	
""" മസ് തിഷ് കാഘാതം "" എന്ന പദത്തിന് തെരച്ചിൽ എൻജിനീയറിങ് ഉപയോഗിക്കുക."	യോഹോയിലേക്ക് പോവാം, അല്ലെങ്കിൽ ഗൂഗിളിന് സീബ്രിറ്റി പോണിന്റെ ഒരു തരം.	"use a search engine to search for the term "" ce le b r ity porn ""."	0	99.99%	
അതെ. ചില മോശം കിടന്നുറങ്ങിയപ്പോള് മറ്റുള്ളവരും എന് റെ മൂക്കിന്റെ അ	"""""""എന്റെ മൂക്കിന്റെ മൂക്കിൽ മൂക്ക് പ്രത്യക്ഷപ്പെടുമ്പോൾ, അത്"	yes , some bad bed she et s made my nose feel uncomfortable .	0	99.99%	
ഇതുവരെ ശ്രമിക്കരുത് . ് | Malayalam news, kerala	ഇനിയും ശ്രമിക്കരുത് . ് ് ു െഎ	don ' t try to date just yet .	1	86.11%	
അത് താഴ്മയുള്ളതായി തോന്നുന്നു.ഞാൻ താഴ്മയുള്ളവനല്ല, അത് ഇഷ്ടപ്പെടുന്നു.	എന്നാൽ ധീരനായി തോന്നി.ഞാൻ അത് സമാന്തരമായി ധരിച്ചിട്ടില്ല, പക്ഷേ.	that sounded mean . i did not mean it like that .	1	86.14%	
നിങ്ങൾക്ക് രസകരമായ D s ഉണ്ടെങ്കിൽ, ഞാൻ ഒരു മ്യൂസിക് തുടങ്ങും.	നിങ്ങൾക്ക് പണം ഉണ്ടെങ്കില് ഞാൻ ഒരു പോസ്റ്റ് തുടങ്ങും! u kg	i would start a blog if you have the fun d s .	1	78.23%	
അവളെ ഒരു അത്താഴത്തിന് കൊണ്ടുപോകുക, തുടർന്ന് അവളെ ഒരു പാർട്ടിയിലേക്ക് കൊണ്ടുപോകുക, തുടർന്ന് അവളോട് വിവാഹത്തിൽ കൈകൊണ്ട് ചോദിക്കുക	എന്നിട്ട് അവളുടെ കാൽമുട്ട് കയറുക, എന്നിട്ട് അവളെ വിവാഹം കഴിക്കാൻ ആവശ്യപ്പെടുക	take her for an expensive dinner , then get on your knee s and ask her to marry you .	1	58.97%	
നൃത്തം നീളമുള്ള ഷർട്ടുകളുള്ള പിഒയിൽ പാവാട ധരിച്ചിരുന്നിടത്ത് സംഖ്യ	പാവാടയിലും നീളമുള്ള ഷർട്ടിലും പോ ഉപയോഗിച്ച്	this dance is from the nu m s and nu m s , where dancer s wear po odle skirt s with long shirt s .	1	93.94%	
എന്തായാലും നിങ്ങൾ എന്തു ചെയ്തു?നിങ്ങൾ ഒരു നല്ല ആളാണ്, എന്തായാലും	നീ എന്തുപറഞ്ഞു?നിങ്ങളുടെ സുഹൃത്തുക്കൾ എന്താണ് പറഞ്ഞത്?നിങ്ങളുടെ ബോസ് എന്താണ് പറഞ്ഞത്?നിങ്ങൾ ആരെയാണ് പറഞ്ഞത്?നിങ്ങളുടെ സുഹൃത്തുക്കളോട് നിങ്ങൾ എന്താണ് പറയുന്നത്?നിങ്ങളുടെ ബോസ് എന്താണ് ചിന്തിക്കുന്നത്?നിങ്ങളുടെ ചങ്ങാതിമാരുടെ പെരുമാറ്റത്തെക്കുറിച്ച് നിങ്ങൾ എന്താണ് പറയുന്നത്?എന്ത്	what did you do , anyway ?	0	99.88%	
അവൻ ഒരു ആൺകുട്ടിയായിരുന്നപ്പോൾ അദ്ദേഹത്തിന്റെ പിയാനോ ആയിരുന്നു	കീബോർഡിലെ മിക്ക ഗാനങ്ങളും അദ്ദേഹം എഴുതി	bob wrote most of his song on this piano .	1	77.71%	
ഉറക്കത്തിലേക്ക് പോകുക.	ഉറക്കത്തിലേക്ക് പോകുക	it ' s better i think if nu m points is sexy , then nu m points would be hot . go to bed it ' s late .	1	93.94%	
പിന്നെ, എനിക്ക് നേട്ടത്തിൽ LE h സജീവമാക്കുകയാണെങ്കിൽ ...	അതിനാൽ, എനിക്ക് നിരസിക്കാൻ കഴിയുമെങ്കിൽ ലെ ഡ്രൈവ് ലെ എച്ച്	then , if i could have trip le h in addition ...	0	96.55%	
രണ്ടാളും നല്ല ഭംഗിയുള്ളവയാണെന്ന് ഞാൻ കണ്ടെത്തും.	അവർ രണ്ടും ചൂടാണെന്ന് തോന്നുന്നു.	i find them both attractive .	1	50.16%	
കോപ്പുലേഷൻ അനുമതി ആനുകൂല്യമല്ല, നിങ്ങൾ അവയെ നിയമിക്കുന്നു.	ബന്ധങ്ങൾ സേവനങ്ങൾ ദൃശ്യമാകില്ല, നിങ്ങൾ ജോലിക്ക് വാദിക്കുന്നു.	the intercourse may not be good , you can ask them .	0	99.99%	
ഷോ കാണുന്നതിന് നിങ്ങൾക്ക് ഒരു കമ്പ്യൂട്ടർ അല്ലെങ്കിൽ ടാബ്ലെറ്റ് ആവശ്യമാണ്	"ബാൻഡിനെ ""ബീറ്റ് ഐസ് കലങ്ങൾ"" എന്ന് വിളിക്കുന്നു, അവർ സ്പന്ദനത്തിലേക്ക് കുലുക്കുന്നു"	peter co t ton t ail or any of beat r ice potter ' s other characters are wonderful .	0	99.99%	
നിങ്ങളെ ഒഴിവാക്കാൻ എന്റെ ഡാറ്റ ഫലപ്രദമാണെന്ന് ഞാൻ ഭയപ്പെടുന്നു.	ഞാൻ വിശ്വസനീയനാണ് ഇടപെടുന്നത്, എന്നാൽ നിങ്ങൾക്ക് പ്രയോജനം ലഭിക്കാൻ എന്റെ വായു നൈപുണ്യമായിരുന്നു.	i do hope that my information was able to help you .	0	99.99%	
നിങ്ങൾ ചിരിക്കും	നിങ്ങൾ ചിരിക്കും	you will laugh , you will love it .	1	54.93%	
ഞാൻ ഒരിക്കലും ഫേറ്റ് ചോദ്യം ചെയ്യുന്നില്ല, പക്ഷേ ചിലപ്പോൾ അത് ഇല്ല	ഞാൻ ഒരിക്കലും ഫേറ്റ് ചോദ്യം ചെയ്യുന്നില്ല, പക്ഷേ ചിലപ്പോൾ അത് ഇല്ല	although it ' s sometimes hard not to , i never question fate .	1	86.14%	
നിങ്ങൾ നിരാശനാണെന്ന് നിങ്ങൾ നിരസിക്കുന്നു, അതിനാൽ നിങ്ങൾ അവളെ ഡിസി ടിസ്റ്റ് ചെയ്യരുത്.	നിങ്ങൾ അവളെപ്പോലെയുള്ളവരാണ്, അതിനാൽ നിങ്ങൾ അവളെ ഉപേക്ഷിക്കരുത്.	you claim you are in love with her so you shouldn ' t leave her .	1	86.11%	
അതുകൊണ്ട്, ഒരു പെൺകുട്ടി എന്ന നിലയിൽ സ്നേഹത്തെ കുറിച്ച് അറിയാൻ എനിക്ക് ആഗ്രഹമുണ്ട്.	അതുകൊണ്ട് ഒരു ചെറുപ്പക്കാരനായിരിക്കെ സ്നേഹവുമായി ബന്ധപ്പെട്ട് എല്ലാ കാര്യങ്ങള് അറിയേണ്ടത് ഞാന് .	so , i wish to know everything that has to do with love as a young man . thanks .	1	85.77%	
കെഇ എല് എല് എര് പോലുള്ള മികച്ച അഭിനേതാക്കള് ലഭിക്കാത്തതെന്ത്?	നിങ്ങൾ അ ത്തരത്തിലുള്ള ശ്രേണി ഇഷ്ടമെങ്കിൽ, കെ. എൽ. എൽ	why not get better artists like ke ll er will ia m s or w arren ha y nes .	0	99.92%	
നടക്കാവുന്നതേയുള്ളൂ......കാരണം......ഏറ്റവും നല്ല രുചിയുള്ളവയായിരുന്നു.	നടക്കാനും കഴിഞ്ഞേക്കും....കാരണം ഒരു ചെസ്സ് ഷോ ആയിരുന്നു..	walk er couldn ' t have been any chee s ier .	0	99.79%	
കെ പിൻവലിക്കാൻ k- ഓപ്പണിലേക്ക് കടക്കാൻ ആവശ്യപ്പെടുന്ന യഥാർത്ഥ ഗുണം.	ഇത് യഥാർത്ഥ സേവനങ്ങളാണ്, കാരണം മൗണ്ട് ന്യായമായ പാപത്തിലേക്ക് തിരിയുന്നതിലേക്ക്.	it is very good for the bank to just sin k into the underground .	0	99.93%	
ആ മനുഷ്യൻ ഒരു മാന്യനായിരിക്കുമെന്ന് ഞാൻ വിശ്വസിക്കുന്നു	അത് ഇതുവരെ പെൺകുട്ടികളെയാകുമെന്ന് ഞാൻ വിശ്വസിക്കുന്നില്ല	either kelly pick ler , or paris , i do not think is will be the gentleman yet .	0	99.88%	
"മഴയിൽ പാടുന്നതിനായി"" ഗായകൻ / ഗാനരചയിതാവിനെ ""തിരയുക"" ഗായകൻ / ഗാനരചയിതാവ് "	"നിങ്ങൾ ഇഷ്ടപ്പെടുന്ന പാട്ട് കേൾക്കാൻ അടുത്ത പേജിലേക്ക് പോയി ""എനിക്ക് ഈ ഗാനം ഇഷ്ടമാണ്"" എന്ന് ടൈപ്പ് ചെയ്യുക"	just go to yahoo music and search for it .	1	54.93%	
നിങ്ങൾക്ക് ഇഷ്ടമുള്ളെങ്കിൽ, എനിക്ക് ഒരു ട്രേവി ജാക്കിൽ സൂര്യനിൽ ഒരു സീസൺ	നിങ്ങൾ തിരയുന്നത് അതാണ്. uak s.  പ്രകാരം സൂര്യ	if you like , i can play season in the sun by terr y jack s .	0	99.73%	
നിങ്ങൾക്ക് സാം ആനുകൂല്യങ്ങൾ അല്ലെങ്കിൽ രസകരമായ തീം അനുഭവപ്പെടാം.	നിങ്ങൾക്ക് സാം സേവനങ്ങൾ Y അല്ലെങ്കിൽ അസംസ്കൃത വിഷയത്തെ അഭ്യർത്ഥിക്കാം.	you could try sam good y or hot topic .	1	54.87%	
സിനിമയെ കുറിച്ച് ഒരു ധാരണ സൃഷ്ടിക്കാന് കഴിയുന്നതാണിത്. ്	കാരണം ആ സിനിമയെ കുറിച്ച് നിങ്ങള് ക്ക് ഒരു അഭിപ്രായം പറയാന് കഴിയും. ്	that would be because you can create an idea about the movie .	1	78.23%	
ഞാൻ സമ്മിശ്രമായി സമ്മതം മൂളി. ബ്ലാക് ഐഡന്റി	കറുത്ത കണ്ണുകളോടെയാണ് ഞാന് അതെ എന്നു പറയേണ്ടിയിരുന്നത്.	i would agree and also include the black eyed peas .	1	54.87%	
നിങ്ങളുടെ പൊതു വായനശാലയ്ക്ക് ഒന്ന് ഉണ്ടായിരിക്കും. അവിടെ നോക്കാന് ഞാന് ശുപാർശ ചെയ്യുന്നു	നിങ്ങളുടെ പബ്ലിക്കേഷന് സ് അവിടെ ഒന്ന് നോക്കിക്കാണാം. ്	your public library may have one . i recommend you look there .	1	93.78%	
പരിഹാസ്യവും പരിഹാസ്യവുമായ er എന്ന തിരഞ്ഞെടുപ്പാണ് ജിം ഉപീപ് വൈ.	മങ്ങിയതും എന്നാൽ മങ്ങിയതുമായ er എന്ന അടിഭാഗമാണ് ജിം ഗാർഡ് y.	jim care y is the best in dumb and dumb er .	0	99.99%	
നിങ്ങള് തെറ്റായ വഴിയില് പോകുമെന്ന് ഞാന് ഭയപ്പെടുന്നു ് െ്രെ	ഞാന് തെറ്റ് ചെയ്യുമെന്ന് ഞാന് ഭയപ്പെടുന്നു . ് ളെ	i ' m afraid you ' re going the wrong way .	0	80.65%	
എനിക്ക് അക്ഷരമാലയുടെ ആദ്യകാല കറങ്ങാൻ കഴിയുമെങ്കിൽ, ഞാൻ നിങ്ങളെയും ഐക്യത്തോടെയും പരിഹരിക്കും.	എനിക്ക് ഫ്രണ്ട് റഡിമെന്റുകളെ തരംതിരിക്കുകയാണെങ്കിൽ, ഞാൻ നിങ്ങളെ ഉപേക്ഷിക്കും, പക്ഷേ ഞാൻ വീഞ്ഞു.	if i could rear range the alphabet , i would put u and i together .	0	99.43%	
"""നിങ്ങള് ക്ക് ഇത് വളരെ പ്രധാനപ്പെട്ടതിനാല് , ഞാന് എന്നെ വിവാഹം ചെയ്യാന് ആഗ്രഹിക്കുന്നുണ്ടോ?"	ഞാന് വിവാഹം കഴിക്കാന് ആഗ്രഹിക്കുന്നു. അതിനാല് ഞാന് നിങ്ങളിലേക്ക് മടങ്ങിയെത്തും.	since it ' s so important to you that i am , do you want to marry me ?	1	85.77%	
ഞാന് സമ്മതം മൂളിയിട്ടില്ല. ഞാന് ഒരു ആരാധകനാണ്. ആ മനുഷ്യന് ആര	“ഞാന് ഒരു ആരാധകനുമല്ല, ബില് ഉണ്ടെന്ന് എനിക്കറിയില്ല.	i do not agree , i am not a fan . i do not know who the man is .	1	50.85%	
താഴെയുള്ള കണ്ണി ക്ലിക്ക് ചെയ്യുക, അത് നിങ്ങൾക്ക് തിന്നാവുന്ന ഒന്നാണെന്ന് ഞാൻ വിശ്വസിക്കുന്നില്ല.	താഴെയുള്ള ലിങ്കിൽ ക്ലിക്ക് ചെയ്യുക......അതൊന്നും കഴിക്കരുത്.	click the link below , i do not believe it is something you can eat .	1	99.99%	
ഞാൻ ചന്ദ്രനിലേക്ക് പറക്കാൻ കഴിയുമെന്ന് ഞാൻ ആഗ്രഹിക്കുന്നു	;) ഞാൻ ആശംസിക്കുന്നു	lol . just kidding . i wish !	0	99.92%	
നിന്റെ ഷർട്ട് എന്റെ അത്രയും വലുതാണ്.	♪ ഷീയോ അല്ലെങ്കിൽ ട് ♪ ♪ ♪ എന്റെ അത്രയും വലിപ്പമുണ്ട് ♪	your shirt is as big as mine .	0	56.63%	
നിങ്ങളുടെ സംഗീത എഞ്ചിനിന് അമ്പത് വയസുള്ളപ്പോൾ നിങ്ങൾക്കത് ചെലവാകും.	ഒരു വർഷത്തേക്കുള്ള NUM വർക്കിൽ Yahoos musg e	yahoo ' s music engine costs fifty - n ine dollars a year and can be used to download both karaoke and regular songs .	0	99.99%	
അപൂർവ്വമായി അപൂർവ്വമായി അപൂർവമായി മാത്രമേ അവ്യക്തമാക്കുന്നത്.	ഇത് പ്രഭാതമായി മാത്രമല്ല, mi ra c les ഇടപാട് നടത്തുന്നു.	it does not happen often but mi ra c les do exist .	0	88.79%	
പോപ്പ്, ഹിപ് ഹോപ്പ് എന്നിവയുടെ ഓഫ്ഷൂട്ടാണ് പോപ്പ് പങ്ക്	മണ്ടൻ പോപ്പ്പങ്ക് ഷെയ്, വാട്ട് പോപ്പ്, റാപ്പ് എന്നിവയിൽ	pop punk is un sa vor y , as is pop and rap music .	0	92.47%	
ധാർമ്മികമായിരിക്കുക, നിങ്ങളുടെ ചോയ്സ് ട്രയൽ അനുഭവിക്കുക.	ശബ്ദം പ്രത്യക്ഷപ്പെടുക, പക്ഷേ നിങ്ങളുടെ അടിസ്ഥാനം അഭ്യർത്ഥിക്കുക.	be honest , and try your best attempt .	0	99.98%	
നിങ്ങൾ ഹോമഫിൽ ചെയ്യരുതെന്ന് അവനെ കണക്കാക്കുക.അത് നയിക്കാത്തെങ്കിൽ, ഒരു ബി കവർ ചെയ്ത സ്ത്രീയെയും പെക്വസിനെയും ശാരീരികമായി ശിക്ഷിക്കുന്നു.നിങ്ങൾ അടിക്കുന്ന തെറ്റ് നിയന്ത്രിക്കുക അടിക്കുന്നത് ഒരു ബി കൊള്ളാം വനിതാ അന്ത്യത്തിൽ ശിക്ഷിക്കുക, മരിക്കുക.	അവനെ വെളിപ്പെടുത്തുക, പക്ഷേ നിങ്ങൾ ലെസ്ബിയൻ അല്ല.ഉണ്ടെങ്കിൽ, നിശ്ചലമാകുന്നില്ല, ഒരു ബി ഇടപാട് നടത്തുക മനുഷ്യരിൽ നിന്ന് ശാരീരികമായി അടിക്കുക.ഒറിജിനൽ ഇപ്പോഴും ഒരു ബി ഇടപാട് നടത്തിയെന്ന് പ്രഖ്യാപിക്കുക.	tell him that you ' re not homosexual . if that doesn ' t work , physically strike him in the a b do men and chest . make sure you hit strike him in the a b do men first , however .	1	93.76%	
നീറ്റൽ വെബ്സൈറ്റും നാഡീ വൈദ്യുതി വെബ്സൈറ്റും.	"കോംപ് + കോംക്ലേഷനും company complex.com (mmm - mi - mi - mi) തീയറ്ററിലും. - - style=""vertical-align: top;""  scope""  scope=""  scop"""	the youtube website and the nu c le ar power website , which is nu m - bit theater .	0	99.98%	
ഒരു ആന എന്നിൽ വരുന്നുണ്ടോ അല്ലെങ്കിൽ എന്റെയടുക്കൽ വരുമെന്ന് ഞാൻ കരുതുന്നു	ഞാൻ കരുതുന്നു	i think i see an elephant size me te or coming at you , but it is too late .	0	92.47%	
പിങ്ക് ആന് ഡ്രോയിഡിലൂടെ ഞാന് എന്തും ഇഷ്ടപ്പെടുന്നു. ആകാശ	പിങ്ക് ആന് ഡ്രോയിഡിലൂടെ എന്ത്ം.ആകാ ശത്തിലെ വലിയ ഒരു ഗിഗ്	i enjoy anything by pink floyd . the great gig in the sky has to be there somewhere .	1	54.87%	
എന് .എ.എച്ച്.എ.ച്ച് കാറിന് ഇഷ്ടപ്പെടുന്ന എന് .എസ്.	എന് .എ.എസിന്റെ കാര് ഇഷ്ടപ്പെടുന്ന എന്റെ മൈസ് പേസിലെ ആളുകളെ ഞാന് നോക്കുക	i would look up people on my space who like na s car .	0	82.39%	
ഒരുപക്ഷേ, സ്ത്രീകൾക്ക് മറ്റു സ്ത്രീകൾ ചെയ്യാതിരിക്കുന്ന ചില കാര്യങ്ങൾ ഉണ്ട്. ്	ചില പെൺകുട്ടികൾ മറ്റ് പെൺകുട്ടികൾ ഇല്ല!   u	perhaps it is because some women have things that other women do not .	1	93.78%	
ഇറ്റ് സ് റ്റേഷനില് വണ് എയര് സെ, എന് ബി സി യൂണിറ്റിലെ എന് ബിസി	അമേരിക്കയില് അതിന്റെ % d d d 'l' % 1	it air s on the station , n b c , in the un it ed states on the nu m r d .	0	99.99%	
യഥാർത്ഥ സജീവമായിരിക്കാൻ അവർ ദരിദ്രരാണ്.	അവസാനിച്ച, യഥാർത്ഥ ബ own ൻ ചെയ്യുന്നത് അവർ അസഹനല്ല.	they are not easy to push over , very heavy .	0	99.96%	
എനിക്ക് ഉറപ്പുമില്ല, പക്ഷേ അവർ തമാശയാണെന്ന് ഞാന് പ്രതീക്ഷിക്കുന്നു ടുഡ	ഡുനൈനോ, പക്ഷെ അവ തമാശയാണ്. ് ള	i ' m not sure , but i hope they were funny .	1	93.94%	
എംബെലിഷ് ഐഎൻജി ആരുമായും വിചാരണ ചെയ്യാത്തപ്പോൾ ഒരു ഉർജിയുമായുള്ള വിചാരണയ്ക്കരിക്കുന്നതിനിടയിൽ, ടി റി ഗൂവിൽ ing ൽ ing ആയിത്തീർന്നപ്പോൾ ലാസ് സിഐ വി രൂപപ്പെടുന്നത് സ്വമേധയാ.	ഓരോ നിങ്ങളുടെ ഇംഗെയും ദൃശ്യമാകുന്നത് ഒരു ആകസ്മിക സ്പെൽ ഇൻവെസ്റ്റ് എടുക്കുകയാണ്, എന്നിരുന്നാലും ടി ആർഐ ഗ്യൂട്ട് ഇൻ ചെയ്യാൻ വളരെയധികം ബാധിക്കുന്നു.	an option while dress ing is to attempt to be all ur ing , though it is necessary to avoid the las ci v ious while maintain ing in t ri gue .	0	99.99%	
